feature,importance,group
Exp_465,0.00030309887,expression
Exp_464,0.00030139997,expression
Exp_335,0.0003004647,expression
Exp_53,0.000299548,expression
Exp_119,0.00029693727,expression
Exp_387,0.00029546578,expression
Exp_802,0.00029468906,expression
Exp_389,0.0002940307,expression
Exp_359,0.00029147882,expression
Exp_350,0.0002912461,expression
Exp_253,0.00029031924,expression
Exp_248,0.00028956632,expression
Exp_147,0.0002872957,expression
Exp_192,0.0002861316,expression
Exp_584,0.00028601824,expression
Exp_268,0.00028510104,expression
Exp_378,0.00028279933,expression
Exp_386,0.00027914115,expression
Exp_240,0.00027768276,expression
Exp_445,0.00027334338,expression
Exp_686,0.00027110078,expression
Exp_764,0.00026826755,expression
Exp_681,0.0002674932,expression
Exp_296,0.0002566343,expression
Exp_704,0.00025552558,expression
Exp_679,0.00025455983,expression
Exp_210,0.00025440502,expression
Exp_779,0.0002529799,expression
Exp_278,0.00024755413,expression
Exp_668,0.0002468231,expression
Exp_647,0.00024559876,expression
Exp_263,0.00024190877,expression
Exp_720,0.00023959493,expression
Exp_176,0.00023688721,expression
Exp_719,0.00023479114,expression
Exp_759,0.00023442051,expression
Exp_348,0.00023168902,expression
Exp_774,0.00022319777,expression
Exp_701,0.00021462323,expression
Exp_266,0.00021273953,expression
Exp_224,0.00021194457,expression
Exp_589,0.00020449971,expression
Exp_340,0.00019962923,expression
Exp_342,0.00019643577,expression
Exp_57,0.00018225724,expression
Exp_228,0.00017365463,expression
Exp_182,0.00015800736,expression
Exp_207,0.00015736678,expression
Exp_390,0.00015537791,expression
Exp_209,0.00012774528,expression
